"","nit","en_vm_canal1","en_vm_canal2","en_vm_canal3","en_vm_canal4","en_vm_canal5","en_vm_canal6","en_vm_canal7","en_vm_canal8","en_vm_canal9","en_vm_canal10","en_vm_otros","en_tx_canal1","en_tx_canal2","en_tx_canal3","en_tx_canal4","en_tx_canal5","en_tx_canal6","en_tx_canal7","en_tx_canal8","en_tx_canal9","en_tx_canal10","en_tx_otros","sal_vm_canal5","sal_vm_canal2","sal_vm_canal8","sal_vm_otros","sal_tx_canal5","sal_tx_canal2","sal_tx_canal8","sal_tx_otros","impo_cv","expo_vt","cxp","cxc","totalinventory","pagos_pj","pagos_pn","tiene_ventas_fisicas","tiene_ventas_electronicas","recaudos_pj","recaudos_pn","rotacion_inventarios","rotacion_cxc","rotacion_cxp","ciclo_negocio","ciclo_financiero","tot_entradas_anuales","tot_entradas_mensuales","tot_salidas_anuales","tot_salidas_mensuales"
"1709","C4155031949837915152",1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,2,2,1,0,0,0,0,0,2,3,2,4,3,470529259.86,36.569444448,342227733.4,5.4
"1710","C4095985248114912277",1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,2,2,0.696,0.304,0,0,0,0,4,2,1,5,6,192348612.15,25.850000003,401479942.3,14.5
"1711","C4705286482877886576",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,2,6,6,6,0.545,0.455,0,0,0,0,6,4,4,6,6,3151478580.6,89.71666666,2192801800,176
"1712","C817239935971690639",1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,2,2,3,6,2,0.426,0.574,1,0,0,0,1,4,2,4,4,3414490208.95,127.462121208,259669716,39.75
"1713","C8752223637258690786",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,6,5,5,0.818,0.182,0,0,0,0,5,4,4,6,3,3060939147.46,501.395238029,2332364321.56,24.83333333
"1714","C3247359913766840904",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,3,2,6,6,5,0.189,0.811,1,0,0.162,0.838,1,3,4,4,1,72906481680,413653.41666997,19023521839,6481.583333
"1715","C6837448508542843240",1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,2,2,2,2,1,0.25,0.75,1,0,0,0,1,1,2,1,1,9266647289.25,5296.250000367,3824171397.3,216.499999967
"1716","C3560276843652522060",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,2,1,2,2,0.378,0.622,0,0,0,0,3,2,1,4,5,2478672061.61,620.60714286,981841411.2,118.8333333
"1717","C934887974319270676",1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,4,2,0.917,0.083,0,0,0,0,1,3,1,3,4,200364471.57,16.333333333,16478679.5,1.5
"1718","C2016257680295392426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,4,1,5,6,0,0,0,0
"1719","C7483141821580963171",1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,1,0.714,0.286,1,0,0,0,1,4,2,6,6,759072819.1,3.728571429,0,0
"1720","C6129676851261339974",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6,6,5,0.708,0.292,0,0,0,0,4,4,4,6,6,394607387.37,34.500000004,0,0
"1721","C581035431299852510",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,2,2,1,0.471,0.529,0,0,0,0,1,1,1,1,2,2003732064.44,174.194444444,99060333.08,18.83333333
"1722","C8064289579162674585",1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.467,0.533,0,0,0,0,2,2,1,4,5,207524341.5,10.583333334,84549735.67,14.166666667
"1723","C7442153235589957560",1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,2,3,6,0.307,0.693,1,0,0,0,3,1,1,4,5,2724250821.38,195.477272757,522473764.6,6.25
"1724","C5581841177266303421",1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,3,2,5,4,3,0.821,0.179,0,0,0,0,4,4,4,6,1,3650298190.23,314.011904759,125333333.3,1
"1725","C5905057480202030747",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,5,0.853,0.147,0,0,0,0,1,1,2,2,2,4844330.79,1.285714286,0,0
